plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity
HARV_037,-72.179312,42.537308,2016,69,2.53,2.731,7.439393939,1133.166667,93.01757576,7.401515152,13
BLAN_002,-77.980761,39.092296,2015,313,5.05,0.236,11.63466667,990.8266667,85.45306667,14.34666667,3
BLAN_033,-78.069151,39.058229,2015,314,5.55,0.245,11.63466667,990.8266667,85.45306667,14.34666667,4
BLAN_032,-78.073305,39.058572,2015,314,5.42,0.348,11.63466667,990.8266667,85.45306667,14.34666667,4
SCBI_067,-78.135536,38.893949,2015,316,6.38,0.426,11.22938144,1015.396907,84.24376289,15,3
SCBI_002,-78.142701,38.895212,2015,316,5.93,0.565,11.22938144,1015.396907,84.24376289,15,4
SCBI_003,-78.120371,38.883308,2015,317,6.01,0.527,11.22938144,1015.396907,84.24376289,15,12
SCBI_003,-78.120371,38.883308,2015,317,5.58,0.404,11.22938144,1015.396907,84.24376289,15,11
SCBI_004,-78.146458,38.896938,2015,317,4.43,0.311,11.22938144,1015.396907,84.24376289,15,10
SCBI_004,-78.146458,38.896938,2015,317,5.12,0.329,11.22938144,1015.396907,84.24376289,15,18
SCBI_006,-78.152007,38.897609,2015,317,5.09,0.328,11.22938144,1015.396907,84.24376289,15,7
SERC_045,-76.55872,38.880982,2015,83,NA,NA,13.1,1072,84.41,13,8
SERC_045,-76.55872,38.880982,2015,83,NA,NA,13.1,1072,84.41,13,8
SERC_045,-76.55872,38.880982,2015,83,NA,NA,13.1,1072,84.41,13,5
SERC_002,-76.558917,38.895036,2015,83,NA,NA,13.1,1072,84.41,13,9
SERC_002,-76.558917,38.895036,2015,83,NA,NA,13.1,1072,84.41,13,4
SERC_044,-76.553986,38.890803,2015,84,NA,NA,13.1,1072,84.41,13,13
SERC_047,-76.560193,38.885634,2015,84,NA,NA,13.1,1072,84.41,13,11
SERC_047,-76.560193,38.885634,2015,84,NA,NA,13.1,1072,84.41,13,10
SERC_047,-76.560193,38.885634,2015,84,NA,NA,13.1,1072,84.41,13,10
SERC_001,-76.533585,38.868693,2015,84,NA,NA,13.1,1072,84.41,13,3
SERC_001,-76.533585,38.868693,2015,84,NA,NA,13.1,1072,84.41,13,8
SERC_001,-76.533585,38.868693,2015,84,NA,NA,13.1,1072,84.41,13,3
SERC_001,-76.533585,38.868693,2015,320,4.81,0.553,13.1,1072,84.41,13,2
SERC_001,-76.533585,38.868693,2015,320,4.7,0.629,13.1,1072,84.41,13,3
SERC_045,-76.55872,38.880982,2015,320,5.13,0.524,13.1,1072,84.41,13,13
SERC_045,-76.55872,38.880982,2015,320,4.22,0.347,13.1,1072,84.41,13,14
SERC_045,-76.55872,38.880982,2015,320,4.16,0.434,13.1,1072,84.41,13,11
SERC_046,-76.551167,38.891258,2015,321,6.66,0.601,13.1,1072,84.41,13,3
SERC_046,-76.551167,38.891258,2015,321,6.14,0.542,13.1,1072,84.41,13,4
SERC_044,-76.553986,38.890803,2015,321,5.17,0.722,13.1,1072,84.41,13,5
SERC_044,-76.553986,38.890803,2015,321,4.55,0.751,13.1,1072,84.41,13,14
SERC_047,-76.560193,38.885634,2015,321,3.77,0.374,13.1,1072,84.41,13,16
SERC_047,-76.560193,38.885634,2015,321,5.32,0.772,13.1,1072,84.41,13,12
SERC_047,-76.560193,38.885634,2015,321,3.87,0.529,13.1,1072,84.41,13,16
SERC_003,-76.543752,38.899872,2015,321,4.62,0.215,13.1,1072,84.41,13,3
SERC_003,-76.543752,38.899872,2015,321,5.03,0.22,13.1,1072,84.41,13,5
JERC_002,-84.460062,31.194504,2016,208,5.13,NA,19.3,1326,62.92,23,12
JERC_005,-84.451228,31.195968,2016,208,4.82,NA,19.3,1326,62.92,23,8
JERC_047,-84.467178,31.198433,2016,209,5.1,NA,19.3,1326,62.92,23,7
STEI_005,-90.086211,45.826444,2016,118,4.85,0.344,4.148387097,810.8951613,111.0433871,44.25,11
STEI_005,-90.086211,45.826444,2016,118,4.38,0.508,4.148387097,810.8951613,111.0433871,44.25,13
STEI_001,-90.092743,45.812246,2016,118,4.94,0.862,4.148387097,810.8951613,111.0433871,44.25,12
STEI_005,-90.086211,45.826444,2016,202,5.04,0.255,4.148387097,810.8951613,111.0433871,44.25,10
STEI_001,-90.092743,45.812246,2016,202,4.97,0.286,4.148387097,810.8951613,111.0433871,44.25,17
STEI_001,-90.092743,45.812246,2016,202,4.66,0.295,4.148387097,810.8951613,111.0433871,44.25,11
STEI_047,-89.588573,45.506178,2016,202,4.36,0.265,4.148387097,810.8951613,111.0433871,44.25,7
STEI_047,-89.588573,45.506178,2016,202,4.46,0.179,4.148387097,810.8951613,111.0433871,44.25,16
STEI_053,-89.587394,45.505661,2016,203,4.06,0.551,4.148387097,810.8951613,111.0433871,44.25,13
STEI_060,-89.58706,45.506757,2016,208,4.13,1.825,4.148387097,810.8951613,111.0433871,44.25,15
HARV_013,-72.254598,42.392282,2016,68,3.29,1.492,7.439393939,1133.166667,93.01757576,7.401515152,12
HARV_013,-72.254598,42.392282,2016,68,3.62,1.495,7.439393939,1133.166667,93.01757576,7.401515152,12
HARV_020,-72.228878,42.436767,2016,68,4.71,1.97,7.439393939,1133.166667,93.01757576,7.401515152,6
HARV_033,-72.175607,42.538302,2016,69,2.98,1.851,7.439393939,1133.166667,93.01757576,7.401515152,15
HARV_033,-72.175607,42.538302,2016,69,2.56,5.12,7.439393939,1133.166667,93.01757576,7.401515152,15
HARV_037,-72.179312,42.537308,2016,69,2.51,3.4,7.439393939,1133.166667,93.01757576,7.401515152,14
HARV_034,-72.177968,42.535686,2016,70,2.58,1.775,7.439393939,1133.166667,93.01757576,7.401515152,19
HARV_035,-72.178072,42.539966,2016,74,2.93,1.626,7.439393939,1133.166667,93.01757576,7.401515152,17
HARV_033,-72.175607,42.538302,2016,215,2.74,2.458,7.439393939,1133.166667,93.01757576,7.401515152,11
HARV_037,-72.179312,42.537308,2016,215,2.62,1.315,7.439393939,1133.166667,93.01757576,7.401515152,13
HARV_037,-72.179312,42.537308,2016,215,3.12,0.909,7.439393939,1133.166667,93.01757576,7.401515152,19
HARV_034,-72.177968,42.535686,2016,215,2.8,0.661,7.439393939,1133.166667,93.01757576,7.401515152,24
HARV_034,-72.177968,42.535686,2016,215,2.52,0.868,7.439393939,1133.166667,93.01757576,7.401515152,16
